gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13060-13060_game_3,2026-01-14 11:17:57,16.01,Weibo Gaming,Blue,1,40.06666666666667,0,1,More Grubs Only,,,25,11,,1.0,,
13060-13060_game_3,2026-01-14 11:17:57,16.01,Invictus Gaming,Red,0,40.06666666666667,1,0,FD Only,,,11,25,,0.0,,
13060-13060_game_1,2026-01-14 09:13:04,16.01,Invictus Gaming,Blue,1,38.7,0,1,More Grubs Only,,,18,8,,1.0,,
13060-13060_game_1,2026-01-14 09:13:04,16.01,Weibo Gaming,Red,0,38.7,1,0,FD Only,,,8,18,,0.0,,
13061-13061_game_1,2026-01-14 12:37:55,16.01,JD Gaming,Blue,1,24.933333333333334,0,0,Neither,,,22,2,,1.0,,
13061-13061_game_1,2026-01-14 12:37:55,16.01,Top Esports,Red,0,24.933333333333334,1,1,FD + More Grubs,,,2,22,,0.0,,
13061-13061_game_2,2026-01-14 13:26:09,16.01,JD Gaming,Blue,1,28.4,0,0,Neither,,,24,8,,1.0,,
13061-13061_game_2,2026-01-14 13:26:09,16.01,Top Esports,Red,0,28.4,1,1,FD + More Grubs,,,8,24,,0.0,,
13062-13062_game_2,2026-01-15 08:14:04,16.01,Ultra Prime,Blue,0,37.333333333333336,0,1,More Grubs Only,,,9,15,,0.0,,
13062-13062_game_2,2026-01-15 08:14:04,16.01,LGD Gaming,Red,1,37.333333333333336,1,0,FD Only,,,15,9,,1.0,,
13063-13063_game_1,2026-01-15 09:26:10,16.01,Anyone's Legend,Blue,1,26.383333333333333,1,0,FD Only,,,22,11,,1.0,,
13063-13063_game_1,2026-01-15 09:26:10,16.01,Invictus Gaming,Red,0,26.383333333333333,0,1,More Grubs Only,,,11,22,,0.0,,
13062-13062_game_1,2026-01-15 07:12:06,16.01,Ultra Prime,Blue,0,34.516666666666666,0,1,More Grubs Only,,,6,18,,0.0,,
13062-13062_game_1,2026-01-15 07:12:06,16.01,LGD Gaming,Red,1,34.516666666666666,1,0,FD Only,,,18,6,,1.0,,
13063-13063_game_2,2026-01-15 10:16:14,16.01,Anyone's Legend,Blue,1,34.15,0,1,More Grubs Only,,,21,12,,0.0,,
13063-13063_game_2,2026-01-15 10:16:14,16.01,Invictus Gaming,Red,0,34.15,1,0,FD Only,,,12,21,,1.0,,
13064-13064_game_1,2026-01-15 11:30:15,16.01,Bilibili Gaming,Blue,0,34.95,0,0,Neither,,,9,26,,1.0,,
13064-13064_game_1,2026-01-15 11:30:15,16.01,Weibo Gaming,Red,1,34.95,1,1,FD + More Grubs,,,26,9,,0.0,,
13064-13064_game_2,2026-01-15 12:30:36,16.01,Weibo Gaming,Blue,0,37.78333333333333,0,1,More Grubs Only,,,13,16,,0.0,,
13064-13064_game_2,2026-01-15 12:30:36,16.01,Bilibili Gaming,Red,1,37.78333333333333,1,0,FD Only,,,16,13,,1.0,,
13064-13064_game_3,2026-01-15 13:36:07,16.01,Bilibili Gaming,Blue,1,35.88333333333333,0,0,Neither,,,15,7,,0.0,,
13064-13064_game_3,2026-01-15 13:36:07,16.01,Weibo Gaming,Red,0,35.88333333333333,1,1,FD + More Grubs,,,7,15,,1.0,,
13106-13106_game_1,2026-01-16 09:16:42,16.01,Oh My God,Blue,0,28.816666666666666,0,1,More Grubs Only,,,5,18,,0.0,,
13106-13106_game_1,2026-01-16 09:16:42,16.01,LNG Esports,Red,1,28.816666666666666,1,0,FD Only,,,18,5,,1.0,,
13106-13106_game_2,2026-01-16 10:08:11,16.01,LNG Esports,Blue,1,24.2,1,1,FD + More Grubs,,,25,4,,1.0,,
13106-13106_game_2,2026-01-16 10:08:11,16.01,Oh My God,Red,0,24.2,0,0,Neither,,,4,25,,0.0,,
